date,equity,cash,option_buying_power,open_positions,orders_submitted,intents_approved,intents_rejected
2025-02-24,100000.0,100000.0,100000.0,0,0,0,0
2025-02-25,100000.0,100000.0,100000.0,0,0,0,0
2025-02-26,100000.0,100000.0,100000.0,0,0,0,0
2025-02-27,100000.0,100000.0,100000.0,0,0,0,0
2025-02-28,100000.0,100000.0,100000.0,0,0,0,0
